day;month;year;week;cases;deaths;countriesAndTerritories;geoId;popData2019;Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
21;10;2020;Week 43;1803;8;Austria;AT;8858775;202,951311
20;10;2020;Week 43;1054;9;Austria;AT;8858775;188,795855
19;10;2020;Week 43;1062;3;Austria;AT;8858775;191,2115388
18;10;2020;Week 43;2040;6;Austria;AT;8858775;185,9850826
17;10;2020;Week 42;1691;7;Austria;AT;8858775;172,3263092
16;10;2020;Week 42;1396;6;Austria;AT;8858775;163,0812387
15;10;2020;Week 42;1606;9;Austria;AT;8858775;153,6894209
14;10;2020;Week 42;1171;10;Austria;AT;8858775;148,4968294
13;10;2020;Week 42;608;5;Austria;AT;8858775;143,4284086
12;10;2020;Week 42;1298;6;Austria;AT;8858775;141,2949307
11;10;2020;Week 42;901;1;Austria;AT;8858775;132,5804076
10;10;2020;Week 41;1181;4;Austria;AT;8858775;129,4422762
9;10;2020;Week 41;1221;9;Austria;AT;8858775;128,2005695
8;10;2020;Week 41;947;4;Austria;AT;8858775;122,1839363
7;10;2020;Week 41;549;22;Austria;AT;8858775;118,9554989
6;10;2020;Week 41;1268;5;Austria;AT;8858775;121,1905709
5;10;2020;Week 41;599;4;Austria;AT;8858775;113,5710073
4;10;2020;Week 41;830;6;Austria;AT;8858775;113,6838897
3;10;2020;Week 40;872;1;Austria;AT;8858775;112,859848
2;10;2020;Week 40;564;3;Austria;AT;8858775;112,2841476
1;10;2020;Week 40;1146;3;Austria;AT;8858775;116,3253384
30;9;2020;Week 40;722;6;Austria;AT;8858775;111,3359353
29;9;2020;Week 40;419;3;Austria;AT;8858775;112,8937127
28;9;2020;Week 40;526;0;Austria;AT;8858775;114,3611843
27;9;2020;Week 40;623;1;Austria;AT;8858775;112,7582538
26;9;2020;Week 39;1071;3;Austria;AT;8858775;111,3133588
25;9;2020;Week 39;688;6;Austria;AT;8858775;110,5683348
24;9;2020;Week 39;661;6;Austria;AT;8858775;108,4122805
23;9;2020;Week 39;747;4;Austria;AT;8858775;109,462087
22;9;2020;Week 39;593;1;Austria;AT;8858775;106,6174499
21;9;2020;Week 39;609;1;Austria;AT;8858775;105,6918141
20;9;2020;Week 39;757;2;Austria;AT;8858775;101,3006877
19;9;2020;Week 38;821;5;Austria;AT;8858775;95,10344263
18;9;2020;Week 38;922;0;Austria;AT;8858775;88,89490928
17;9;2020;Week 38;704;1;Austria;AT;8858775;82,00908139
16;9;2020;Week 38;860;0;Austria;AT;8858775;79,05156187
15;9;2020;Week 38;549;1;Austria;AT;8858775;73,14781107
14;9;2020;Week 38;384;2;Austria;AT;8858775;69,05017906
13;9;2020;Week 38;495;4;Austria;AT;8858775;67,88749009
12;9;2020;Week 37;1005;2;Austria;AT;8858775;64,26396426
11;9;2020;Week 37;497;1;Austria;AT;8858775;57,23138922
10;9;2020;Week 37;754;0;Austria;AT;8858775;54,18356375
9;9;2020;Week 37;495;1;Austria;AT;8858775;49,23931356
8;9;2020;Week 37;511;10;Austria;AT;8858775;46,9365121
7;9;2020;Week 37;220;1;Austria;AT;8858775;44,64499889
6;9;2020;Week 37;208;0;Austria;AT;8858775;43,74193949
5;9;2020;Week 36;271;0;Austria;AT;8858775;43,83224543
4;9;2020;Week 36;312;1;Austria;AT;8858775;43,8773984
3;9;2020;Week 36;442;0;Austria;AT;8858775;43,83224543
2;9;2020;Week 36;337;1;Austria;AT;8858775;43,64034531
1;9;2020;Week 36;186;0;Austria;AT;8858775;41,61974991
31;8;2020;Week 36;281;0;Austria;AT;8858775;43,40329222
30;8;2020;Week 36;174;0;Austria;AT;8858775;42,05999136
29;8;2020;Week 35;382;0;Austria;AT;8858775;43,03078022
28;8;2020;Week 35;227;0;Austria;AT;8858775;41,21337318
27;8;2020;Week 35;316;0;Austria;AT;8858775;41,23594967
26;8;2020;Week 35;291;0;Austria;AT;8858775;40,38933148
25;8;2020;Week 35;308;1;Austria;AT;8858775;38,66223039
24;8;2020;Week 35;140;0;Austria;AT;8858775;36,43844662
23;8;2020;Week 35;216;2;Austria;AT;8858775;35,71599911
22;8;2020;Week 34;275;1;Austria;AT;8858775;34,58717486
21;8;2020;Week 34;308;0;Austria;AT;8858775;32,95037971
20;8;2020;Week 34;425;0;Austria;AT;8858775;30,76046067
19;8;2020;Week 34;158;0;Austria;AT;8858775;27,1256466
18;8;2020;Week 34;344;1;Austria;AT;8858775;26,82086406
17;8;2020;Week 34;162;0;Austria;AT;8858775;23,29893241
16;8;2020;Week 34;260;3;Austria;AT;8858775;22,42973775
15;8;2020;Week 33;221;0;Austria;AT;8858775;20,91711326
14;8;2020;Week 33;229;1;Austria;AT;8858775;19,42706525
13;8;2020;Week 33;241;1;Austria;AT;8858775;18,68204125
12;8;2020;Week 33;138;0;Austria;AT;8858775;17,81284658
11;8;2020;Week 33;111;2;Austria;AT;8858775;17,74511713
10;8;2020;Week 33;76;0;Austria;AT;8858775;17,21456973
9;8;2020;Week 33;116;1;Austria;AT;8858775;17,90315252
8;8;2020;Week 32;130;1;Austria;AT;8858775;17,94830549
7;8;2020;Week 32;114;0;Austria;AT;8858775;17,68867592
6;8;2020;Week 32;103;0;Austria;AT;8858775;18,25308804
5;8;2020;Week 32;131;1;Austria;AT;8858775;18,67075301
4;8;2020;Week 32;32;0;Austria;AT;8858775;18,76105895
3;8;2020;Week 32;85;0;Austria;AT;8858775;19,61896538
2;8;2020;Week 32;126;0;Austria;AT;8858775;19,37062404
1;8;2020;Week 31;89;0;Austria;AT;8858775;19,09970622
31;7;2020;Week 31;163;2;Austria;AT;8858775;19,6528301
30;7;2020;Week 31;164;3;Austria;AT;8858775;19,53994768
29;7;2020;Week 31;132;0;Austria;AT;8858775;18,30952925
28;7;2020;Week 31;64;1;Austria;AT;8858775;19,08841798
27;7;2020;Week 31;137;0;Austria;AT;8858775;18,50142937
26;7;2020;Week 31;120;1;Austria;AT;8858775;17,54192877
25;7;2020;Week 30;107;0;Austria;AT;8858775;17,40646986
24;7;2020;Week 30;164;0;Austria;AT;8858775;17,03395786
23;7;2020;Week 30;140;1;Austria;AT;8858775;16,27764561
22;7;2020;Week 30;139;0;Austria;AT;8858775;15,83740416
21;7;2020;Week 30;108;0;Austria;AT;8858775;15,27299203
20;7;2020;Week 30;63;0;Austria;AT;8858775;14,69729167
19;7;2020;Week 30;102;0;Austria;AT;8858775;14,81017409
18;7;2020;Week 29;138;0;Austria;AT;8858775;15,04722718
17;7;2020;Week 29;153;0;Austria;AT;8858775;14,85532706
16;7;2020;Week 29;55;1;Austria;AT;8858775;14,68600343
15;7;2020;Week 29;201;1;Austria;AT;8858775;14,48281506
14;7;2020;Week 29;12;0;Austria;AT;8858775;13,46687324
13;7;2020;Week 29;52;2;Austria;AT;8858775;13,79423227
12;7;2020;Week 29;108;0;Austria;AT;8858775;13,91840294
11;7;2020;Week 28;74;0;Austria;AT;8858775;13,42172027
10;7;2020;Week 28;97;0;Austria;AT;8858775;13,34270257
9;7;2020;Week 28;101;0;Austria;AT;8858775;12,77829045
8;7;2020;Week 28;89;0;Austria;AT;8858775;12,01068997
7;7;2020;Week 28;57;0;Austria;AT;8858775;11,3559719
6;7;2020;Week 28;73;1;Austria;AT;8858775;11,10763057
5;7;2020;Week 28;123;0;Austria;AT;8858775;10,71254208
4;7;2020;Week 27;121;0;Austria;AT;8858775;10,02395929
3;7;2020;Week 27;138;0;Austria;AT;8858775;8,99672923
2;7;2020;Week 27;37;0;Austria;AT;8858775;7,89048147
1;7;2020;Week 27;111;2;Austria;AT;8858775;7,66471662
30;6;2020;Week 27;41;1;Austria;AT;8858775;6,78423371
29;6;2020;Week 27;63;2;Austria;AT;8858775;6,62619832
28;6;2020;Week 27;64;2;Austria;AT;8858775;6,18595686
27;6;2020;Week 26;67;0;Austria;AT;8858775;5,68927419
26;6;2020;Week 26;47;5;Austria;AT;8858775;5,27160922
25;6;2020;Week 26;33;0;Austria;AT;8858775;5,05713262
24;6;2020;Week 26;31;3;Austria;AT;8858775;5,06842086
23;6;2020;Week 26;35;0;Austria;AT;8858775;4,8652325
22;6;2020;Week 26;38;2;Austria;AT;8858775;4,7071971
21;6;2020;Week 26;62;0;Austria;AT;8858775;4,79750304
20;6;2020;Week 25;30;0;Austria;AT;8858775;4,31210862
19;6;2020;Week 25;40;1;Austria;AT;8858775;4,67333237
18;6;2020;Week 25;17;6;Austria;AT;8858775;4,6281794
17;6;2020;Week 25;33;3;Austria;AT;8858775;4,7862148
16;6;2020;Week 25;27;1;Austria;AT;8858775;4,53787346
15;6;2020;Week 25;24;0;Austria;AT;8858775;4,47014401
14;6;2020;Week 25;20;2;Austria;AT;8858775;4,24437916
13;6;2020;Week 24;30;1;Austria;AT;8858775;4,51529698
12;6;2020;Week 24;28;1;Austria;AT;8858775;4,75235007
11;6;2020;Week 24;34;1;Austria;AT;8858775;4,75235007
10;6;2020;Week 24;13;0;Austria;AT;8858775;4,57173819
9;6;2020;Week 24;21;0;Austria;AT;8858775;4,85394425
8;6;2020;Week 24;46;0;Austria;AT;8858775;4,84265601
7;6;2020;Week 24;19;0;Austria;AT;8858775;4,68462062
6;6;2020;Week 23;62;2;Austria;AT;8858775;4,98940316
5;6;2020;Week 23;36;0;Austria;AT;8858775;4,61689116
4;6;2020;Week 23;31;1;Austria;AT;8858775;4,85394425
3;6;2020;Week 23;11;1;Austria;AT;8858775;4,7071971
2;6;2020;Week 23;21;0;Austria;AT;8858775;5,46350935
1;6;2020;Week 23;4;0;Austria;AT;8858775;5,50866232
31;5;2020;Week 23;44;0;Austria;AT;8858775;5,62154474
30;5;2020;Week 22;51;0;Austria;AT;8858775;5,93761553
29;5;2020;Week 22;28;23;Austria;AT;8858775;6,07307444
28;5;2020;Week 22;18;2;Austria;AT;8858775;6,21982159
27;5;2020;Week 22;38;2;Austria;AT;8858775;6,62619832
26;5;2020;Week 22;20;1;Austria;AT;8858775;6,60362183
25;5;2020;Week 22;32;1;Austria;AT;8858775;7,35993408
24;5;2020;Week 22;46;4;Austria;AT;8858775;7,11159274
23;5;2020;Week 21;29;2;Austria;AT;8858775;7,06643977
22;5;2020;Week 21;57;0;Austria;AT;8858775;7,43895177
21;5;2020;Week 21;18;1;Austria;AT;8858775;7,04386329
20;5;2020;Week 21;78;3;Austria;AT;8858775;7,57441068
19;5;2020;Week 21;25;0;Austria;AT;8858775;6,88582789
18;5;2020;Week 21;14;1;Austria;AT;8858775;6,95355735
17;5;2020;Week 21;72;0;Austria;AT;8858775;7,56312244
16;5;2020;Week 20;63;2;Austria;AT;8858775;6,88582789
15;5;2020;Week 20;41;2;Austria;AT;8858775;6,55846886
14;5;2020;Week 20;54;1;Austria;AT;8858775;6,77294547
13;5;2020;Week 20;36;3;Austria;AT;8858775;6,7277925
12;5;2020;Week 20;87;2;Austria;AT;8858775;6,97613383
11;5;2020;Week 20;10;3;Austria;AT;8858775;6,75036898
10;5;2020;Week 20;42;1;Austria;AT;8858775;7,25833989
9;5;2020;Week 19;62;5;Austria;AT;8858775;7,52925771
8;5;2020;Week 19;22;1;Austria;AT;8858775;7,7663108
7;5;2020;Week 19;65;2;Austria;AT;8858775;8,20655226
6;5;2020;Week 19;17;6;Austria;AT;8858775;8,50004656
5;5;2020;Week 19;31;2;Austria;AT;8858775;8,87255856
4;5;2020;Week 19;68;2;Austria;AT;8858775;9,34666475
3;5;2020;Week 19;12;7;Austria;AT;8858775;9,1208999
2;5;2020;Week 18;34;5;Austria;AT;8858775;9,65144729
1;5;2020;Week 18;60;4;Austria;AT;8858775;11,01732463
30;4;2020;Week 18;50;11;Austria;AT;8858775;11,22051299
29;4;2020;Week 18;58;20;Austria;AT;8858775;12,19130184
28;4;2020;Week 18;67;7;Austria;AT;8858775;13,69263809
27;4;2020;Week 18;55;6;Austria;AT;8858775;14,13287955
26;4;2020;Week 18;66;23;Austria;AT;8858775;14,97949773
25;4;2020;Week 17;83;5;Austria;AT;8858775;17,02266961
24;4;2020;Week 17;61;14;Austria;AT;8858775;19,60767713
23;4;2020;Week 17;91;31;Austria;AT;8858775;22,06851399
22;4;2020;Week 17;50;1;Austria;AT;8858775;24,75511569
21;4;2020;Week 17;73;10;Austria;AT;8858775;28,06257073
20;4;2020;Week 17;48;9;Austria;AT;8858775;30,78303716
19;4;2020;Week 17;59;12;Austria;AT;8858775;32,69075013
18;4;2020;Week 16;155;21;Austria;AT;8858775;34,74521026
17;4;2020;Week 16;78;17;Austria;AT;8858775;37,46567669
16;4;2020;Week 16;136;9;Austria;AT;8858775;41,30367912
15;4;2020;Week 16;191;16;Austria;AT;8858775;45,7399584
14;4;2020;Week 16;106;18;Austria;AT;8858775;49,95047284
13;4;2020;Week 16;130;13;Austria;AT;8858775;57,84095431
12;4;2020;Week 16;247;18;Austria;AT;8858775;62,26594535
11;4;2020;Week 15;312;24;Austria;AT;8858775;66,18296548
10;4;2020;Week 15;279;22;Austria;AT;8858775;70,20157979
9;4;2020;Week 15;329;30;Austria;AT;8858775;79,93204478
8;4;2020;Week 15;343;23;Austria;AT;8858775;83,05888794
7;4;2020;Week 15;314;16;Austria;AT;8858775;88,17246177
6;4;2020;Week 15;217;18;Austria;AT;8858775;94,27940093
5;4;2020;Week 15;241;18;Austria;AT;8858775;98,68181549
4;4;2020;Week 14;396;10;Austria;AT;8858775;100,19444
3;4;2020;Week 14;418;12;Austria;AT;8858775;100,8378698
2;4;2020;Week 14;529;18;Austria;AT;8858775;102,3279178
1;4;2020;Week 14;564;20;Austria;AT;8858775;99,90094567
31;3;2020;Week 14;805;22;Austria;AT;8858775;97,10146155
30;3;2020;Week 14;522;18;Austria;AT;8858775;89,7753922
29;3;2020;Week 14;594;0;Austria;AT;8858775;86,19701934
28;3;2020;Week 13;668;16;Austria;AT;8858775;81,19632793
27;3;2020;Week 13;1141;18;Austria;AT;8858775;75,27000065
26;3;2020;Week 13;606;4;Austria;AT;8858775;63,6882639
25;3;2020;Week 13;796;5;Austria;AT;8858775;57,57003649
24;3;2020;Week 13;855;9;Austria;AT;8858775;49,16029586
23;3;2020;Week 13;607;8;Austria;AT;8858775;39,8362076
22;3;2020;Week 13;375;2;Austria;AT;8858775;33,01810916
21;3;2020;Week 12;453;0;Austria;AT;8858775;29,06722431
20;3;2020;Week 12;550;2;Austria;AT;8858775;24,32616248
19;3;2020;Week 12;314;1;Austria;AT;8858775;18,25308804
18;3;2020;Week 12;316;0;Austria;AT;8858775;14,76502112
17;3;2020;Week 12;156;2;Austria;AT;8858775;11,26566596
16;3;2020;Week 12;205;0;Austria;AT;8858775;9,54985311
15;3;2020;Week 12;151;0;Austria;AT;8858775;7,28091638
14;3;2020;Week 11;143;0;Austria;AT;8858775;5,6102565
13;3;2020;Week 11;115;1;Austria;AT;8858775;4,01861431
12;3;2020;Week 11;64;0;Austria;AT;8858775;2,75433116
11;3;2020;Week 11;51;0;Austria;AT;8858775;2,03188364
10;3;2020;Week 11;29;0;Austria;AT;8858775;1,47875976
9;3;2020;Week 11;3;0;Austria;AT;8858775;1,15140073
8;3;2020;Week 11;25;0;Austria;AT;8858775;1,117536
7;3;2020;Week 10;33;0;Austria;AT;8858775;0,83532994
6;3;2020;Week 10;12;0;Austria;AT;8858775;0,46281794
5;3;2020;Week 10;5;0;Austria;AT;8858775;0,32735903
4;3;2020;Week 10;6;0;Austria;AT;8858775;0,27091782
3;3;2020;Week 10;4;0;Austria;AT;8858775;0,20318836
2;3;2020;Week 10;4;0;Austria;AT;8858775;0,15803539
1;3;2020;Week 10;3;0;Austria;AT;8858775;0,11288242
29;2;2020;Week 9;2;0;Austria;AT;8858775;0,0790177
28;2;2020;Week 9;3;0;Austria;AT;8858775;0,05644121
27;2;2020;Week 9;0;0;Austria;AT;8858775;0,02257648
26;2;2020;Week 9;2;0;Austria;AT;8858775;0,02257648
25;2;2020;Week 9;0;0;Austria;AT;8858775;0
24;2;2020;Week 9;0;0;Austria;AT;8858775;0
23;2;2020;Week 9;0;0;Austria;AT;8858775;0
22;2;2020;Week 8;0;0;Austria;AT;8858775;0
21;2;2020;Week 8;0;0;Austria;AT;8858775;0
20;2;2020;Week 8;0;0;Austria;AT;8858775;0
19;2;2020;Week 8;0;0;Austria;AT;8858775;0
18;2;2020;Week 8;0;0;Austria;AT;8858775;0
17;2;2020;Week 8;0;0;Austria;AT;8858775;0
16;2;2020;Week 8;0;0;Austria;AT;8858775;0
15;2;2020;Week 7;0;0;Austria;AT;8858775;0
14;2;2020;Week 7;0;0;Austria;AT;8858775;0
13;2;2020;Week 7;0;0;Austria;AT;8858775;0
12;2;2020;Week 7;0;0;Austria;AT;8858775;0
11;2;2020;Week 7;0;0;Austria;AT;8858775;0
10;2;2020;Week 7;0;0;Austria;AT;8858775;0
9;2;2020;Week 7;0;0;Austria;AT;8858775;0
8;2;2020;Week 6;0;0;Austria;AT;8858775;0
7;2;2020;Week 6;0;0;Austria;AT;8858775;0
6;2;2020;Week 6;0;0;Austria;AT;8858775;0
5;2;2020;Week 6;0;0;Austria;AT;8858775;0
4;2;2020;Week 6;0;0;Austria;AT;8858775;0
3;2;2020;Week 6;0;0;Austria;AT;8858775;0
2;2;2020;Week 6;0;0;Austria;AT;8858775;0
1;2;2020;Week 5;0;0;Austria;AT;8858775;0
31;1;2020;Week 5;0;0;Austria;AT;8858775;0
30;1;2020;Week 5;0;0;Austria;AT;8858775;0
29;1;2020;Week 5;0;0;Austria;AT;8858775;0
28;1;2020;Week 5;0;0;Austria;AT;8858775;0
27;1;2020;Week 5;0;0;Austria;AT;8858775;0
26;1;2020;Week 5;0;0;Austria;AT;8858775;0
25;1;2020;Week 4;0;0;Austria;AT;8858775;0
24;1;2020;Week 4;0;0;Austria;AT;8858775;0
23;1;2020;Week 4;0;0;Austria;AT;8858775;0
22;1;2020;Week 4;0;0;Austria;AT;8858775;0
21;1;2020;Week 4;0;0;Austria;AT;8858775;0
20;1;2020;Week 4;0;0;Austria;AT;8858775;0
19;1;2020;Week 4;0;0;Austria;AT;8858775;0
18;1;2020;Week 3;0;0;Austria;AT;8858775;0
17;1;2020;Week 3;0;0;Austria;AT;8858775;0
16;1;2020;Week 3;0;0;Austria;AT;8858775;0
15;1;2020;Week 3;0;0;Austria;AT;8858775;0
14;1;2020;Week 3;0;0;Austria;AT;8858775;0
13;1;2020;Week 3;0;0;Austria;AT;8858775;0
12;1;2020;Week 3;0;0;Austria;AT;8858775;0
11;1;2020;Week 2;0;0;Austria;AT;8858775;0
10;1;2020;Week 2;0;0;Austria;AT;8858775;0
9;1;2020;Week 2;0;0;Austria;AT;8858775;0
8;1;2020;Week 2;0;0;Austria;AT;8858775;0
7;1;2020;Week 2;0;0;Austria;AT;8858775;0
6;1;2020;Week 2;0;0;Austria;AT;8858775;0
5;1;2020;Week 2;0;0;Austria;AT;8858775;0
4;1;2020;Week 1;0;0;Austria;AT;8858775;0
3;1;2020;Week 1;0;0;Austria;AT;8858775;0
2;1;2020;Week 1;0;0;Austria;AT;8858775;0
1;1;2020;Week 1;0;0;Austria;AT;8858775;0
31;12;2019;Week 53;0;0;Austria;AT;8858775;0
21;10;2020;Week 43;30;4;Belgium;BE;11455519;867,1715354
20;10;2020;Week 43;2329;40;Belgium;BE;11455519;892,6177854
19;10;2020;Week 43;3045;29;Belgium;BE;11455519;875,0716576
18;10;2020;Week 43;5612;21;Belgium;BE;11455519;841,0007438
17;10;2020;Week 42;10906;34;Belgium;BE;11455519;778,2798841
16;10;2020;Week 42;10545;35;Belgium;BE;11455519;715,969307
15;10;2020;Week 42;11464;42;Belgium;BE;11455519;644,1698539
14;10;2020;Week 42;12243;34;Belgium;BE;11455519;563,2918072
13;10;2020;Week 42;9650;36;Belgium;BE;11455519;503,2945256
12;10;2020;Week 42;2408;25;Belgium;BE;11455519;486,9792456
11;10;2020;Week 42;4305;22;Belgium;BE;11455519;457,6309463
10;10;2020;Week 41;7777;19;Belgium;BE;11455519;403,9013859
9;10;2020;Week 41;6580;20;Belgium;BE;11455519;362,1311265
8;10;2020;Week 41;6789;20;Belgium;BE;11455519;321,1639735
7;10;2020;Week 41;5686;18;Belgium;BE;11455519;289,63332
6;10;2020;Week 41;5244;14;Belgium;BE;11455519;263,0784341
5;10;2020;Week 41;1035;14;Belgium;BE;11455519;258,0677488
4;10;2020;Week 41;1709;15;Belgium;BE;11455519;250,9532741
3;10;2020;Week 40;3721;11;Belgium;BE;11455519;233,3896875
2;10;2020;Week 40;3407;15;Belgium;BE;11455519;218,9250439
1;10;2020;Week 40;3239;6;Belgium;BE;11455519;207,5942609
30;9;2020;Week 40;2978;9;Belgium;BE;11455519;195,8095482
29;9;2020;Week 40;2777;13;Belgium;BE;11455519;186,6174723
28;9;2020;Week 40;539;12;Belgium;BE;11455519;184,5398711
27;9;2020;Week 40;943;6;Belgium;BE;11455519;181,6940813
26;9;2020;Week 39;1622;5;Belgium;BE;11455519;178,7435384
25;9;2020;Week 39;1795;4;Belgium;BE;11455519;173,0519586
24;9;2020;Week 39;2096;8;Belgium;BE;11455519;163,6940238
23;9;2020;Week 39;2074;1;Belgium;BE;11455519;153,1925354
22;9;2020;Week 39;2202;3;Belgium;BE;11455519;141,9839642
21;9;2020;Week 39;461;3;Belgium;BE;11455519;139,3127627
20;9;2020;Week 39;894;8;Belgium;BE;11455519;134,3195363
19;9;2020;Week 38;1709;6;Belgium;BE;11455519;125,7559784
18;9;2020;Week 38;1750;1;Belgium;BE;11455519;116,3893142
17;9;2020;Week 38;1941;2;Belgium;BE;11455519;104,4562014
16;9;2020;Week 38;1628;3;Belgium;BE;11455519;95,17683136
15;9;2020;Week 38;1724;4;Belgium;BE;11455519;85,66176705
14;9;2020;Week 38;301;1;Belgium;BE;11455519;84,05555436
13;9;2020;Week 38;617;1;Belgium;BE;11455519;80,37174047
12;9;2020;Week 37;1284;5;Belgium;BE;11455519;74,52303121
11;9;2020;Week 37;1143;3;Belgium;BE;11455519;69,2155458
10;9;2020;Week 37;1024;2;Belgium;BE;11455519;64,86829623
9;9;2020;Week 37;871;3;Belgium;BE;11455519;61,86537685
8;9;2020;Week 37;918;4;Belgium;BE;11455519;59,15052823
7;9;2020;Week 37;155;2;Belgium;BE;11455519;58,80135156
6;9;2020;Week 37;322;1;Belgium;BE;11455519;57,76255096
5;9;2020;Week 36;728;2;Belgium;BE;11455519;55,8595381
4;9;2020;Week 36;677;4;Belgium;BE;11455519;55,02151408
3;9;2020;Week 36;574;2;Belgium;BE;11455519;55,35323192
2;9;2020;Week 36;565;3;Belgium;BE;11455519;56,74993861
1;9;2020;Week 36;634;3;Belgium;BE;11455519;57,38718604
31;8;2020;Week 36;117;1;Belgium;BE;11455519;57,51812729
30;8;2020;Week 36;195;6;Belgium;BE;11455519;57,23878595
29;8;2020;Week 35;614;4;Belgium;BE;11455519;57,0030917
28;8;2020;Week 35;535;3;Belgium;BE;11455519;58,17283355
27;8;2020;Week 35;526;4;Belgium;BE;11455519;58,89737514
26;8;2020;Week 35;527;5;Belgium;BE;11455519;60,56469375
25;8;2020;Week 35;607;5;Belgium;BE;11455519;62,88671862
24;8;2020;Week 35;115;3;Belgium;BE;11455519;62,94782454
23;8;2020;Week 35;203;5;Belgium;BE;11455519;63,82949563
22;8;2020;Week 34;510;3;Belgium;BE;11455519;66,10787342
21;8;2020;Week 34;581;4;Belgium;BE;11455519;67,74900378
20;8;2020;Week 34;612;9;Belgium;BE;11455519;69,10206338
19;8;2020;Week 34;725;11;Belgium;BE;11455519;69,87025206
18;8;2020;Week 34;707;7;Belgium;BE;11455519;70,62971132
17;8;2020;Week 34;132;7;Belgium;BE;11455519;70,76938199
16;8;2020;Week 34;163;9;Belgium;BE;11455519;72,04387684
15;8;2020;Week 33;587;12;Belgium;BE;11455519;72,89063027
14;8;2020;Week 33;669;12;Belgium;BE;11455519;72,5938301
13;8;2020;Week 33;609;11;Belgium;BE;11455519;73,41439528
12;8;2020;Week 33;718;13;Belgium;BE;11455519;73,12632453
11;8;2020;Week 33;873;11;Belgium;BE;11455519;70,69954666
10;8;2020;Week 33;122;5;Belgium;BE;11455519;71,2407705
9;8;2020;Week 33;304;2;Belgium;BE;11455519;70,58606424
8;8;2020;Week 32;771;6;Belgium;BE;11455519;68,18547462
7;8;2020;Week 32;769;4;Belgium;BE;11455519;65,30476707
6;8;2020;Week 32;767;5;Belgium;BE;11455519;63,43667188
5;8;2020;Week 32;813;5;Belgium;BE;11455519;57,60542146
4;8;2020;Week 32;794;3;Belgium;BE;11455519;54,54139616
3;8;2020;Week 32;148;5;Belgium;BE;11455519;53,80812515
2;8;2020;Week 32;309;2;Belgium;BE;11455519;52,24555954
1;8;2020;Week 31;684;3;Belgium;BE;11455519;48,66649865
31;7;2020;Week 31;635;2;Belgium;BE;11455519;45,09616718
30;7;2020;Week 31;703;3;Belgium;BE;11455519;41,22903554
29;7;2020;Week 31;685;1;Belgium;BE;11455519;37,05637431
28;7;2020;Week 31;595;4;Belgium;BE;11455519;33,81776068
27;7;2020;Week 31;184;2;Belgium;BE;11455519;32,58691291
26;7;2020;Week 31;229;1;Belgium;BE;11455519;31,12910031
25;7;2020;Week 30;496;5;Belgium;BE;11455519;27,90794551
24;7;2020;Week 30;439;2;Belgium;BE;11455519;25,15817921
23;7;2020;Week 30;553;2;Belgium;BE;11455519;21,52674183
22;7;2020;Week 30;145;1;Belgium;BE;11455519;21,12518865
21;7;2020;Week 30;443;2;Belgium;BE;11455519;18,23575169
20;7;2020;Week 30;64;1;Belgium;BE;11455519;17,88657502
19;7;2020;Week 30;130;3;Belgium;BE;11455519;17,31043351
18;7;2020;Week 29;274;2;Belgium;BE;11455519;15,73913849
17;7;2020;Week 29;226;5;Belgium;BE;11455519;14,57812605
16;7;2020;Week 29;260;5;Belgium;BE;11455519;13,48694895
15;7;2020;Week 29;207;3;Belgium;BE;11455519;12,55290136
14;7;2020;Week 29;224;0;Belgium;BE;11455519;11,70614793
13;7;2020;Week 29;43;4;Belgium;BE;11455519;11,54028901
12;7;2020;Week 29;62;2;Belgium;BE;11455519;11,35697126
11;7;2020;Week 28;127;0;Belgium;BE;11455519;11,23475942
10;7;2020;Week 28;124;2;Belgium;BE;11455519;10,81574741
9;7;2020;Week 28;137;1;Belgium;BE;11455519;10,49275899
8;7;2020;Week 28;99;3;Belgium;BE;11455519;10,58878258
7;7;2020;Week 28;112;1;Belgium;BE;11455519;10,8593945
6;7;2020;Week 28;24;2;Belgium;BE;11455519;10,82447683
5;7;2020;Week 28;64;3;Belgium;BE;11455519;10,702265
4;7;2020;Week 27;94;2;Belgium;BE;11455519;10,93795925
3;7;2020;Week 27;93;5;Belgium;BE;11455519;11,0689005
2;7;2020;Week 27;135;2;Belgium;BE;11455519;10,9641475
1;7;2020;Week 27;100;8;Belgium;BE;11455519;10,95541808
30;6;2020;Week 27;127;3;Belgium;BE;11455519;11,13000642
29;6;2020;Week 27;24;5;Belgium;BE;11455519;11,11254759
28;6;2020;Week 27;41;8;Belgium;BE;11455519;11,18238292
27;6;2020;Week 26;113;2;Belgium;BE;11455519;10,97287692
26;6;2020;Week 26;76;5;Belgium;BE;11455519;11,13873584
25;6;2020;Week 26;100;3;Belgium;BE;11455519;11,30459475
24;6;2020;Week 26;110;4;Belgium;BE;11455519;11,61012434
23;6;2020;Week 26;143;12;Belgium;BE;11455519;11,68868909
22;6;2020;Week 26;20;9;Belgium;BE;11455519;11,97675985
21;6;2020;Week 26;50;3;Belgium;BE;11455519;12,14261877
20;6;2020;Week 25;121;4;Belgium;BE;11455519;12,43068952
19;6;2020;Week 25;108;5;Belgium;BE;11455519;12,9893722
18;6;2020;Week 25;123;7;Belgium;BE;11455519;13,3036312
17;6;2020;Week 25;99;7;Belgium;BE;11455519;14,01944338
16;6;2020;Week 25;147;8;Belgium;BE;11455519;13,2512547
